evt	d_on	d_off	s_on	s_off	d_pair	on_ok	off_ok
388	0.587	0.448	1.0	1.0	0.5	1	1
10550	46.707	46.4	0.018	0.0683	0.5	0	0
30504	100.965	100.965	0.0059	0.0059	0.0	0	0
38856	15.504	26.866	0.0086	0.1446	11.413	0	0
42280	2.016	1.548	0.1952	0.1847	0.5	0	1
46363	40.825	0.312	0.0098	0.0894	40.688	0	1
52672	139.717	139.717	0.0078	0.0078	0.0	0	0
54095	0.334	0.199	1.0	1.0	0.5	1	1
69314	0.731	0.36	0.9261	0.684	0.5	1	1
74544	0.859	0.671	0.9506	0.8362	0.707	1	1
81597	0.279	0.279	1.0	1.0	0.0	1	1
90055	0.094	0.725	0.971	0.8888	0.707	1	1
111412	35.164	58.519	0.0094	0.0066	23.356	0	0
131357	0.561	0.569	0.9254	0.9997	1.004	1	1
137238	4.995	1.391	0.2097	0.9999	3.674	0	1
163543	38.128	61.128	0.0217	0.0055	23.157	0	0
168596	0.531	0.524	1.0	1.0	0.02	1	1
172230	0.489	0.594	0.8334	0.9913	0.108	1	1
174637	0.761	1.199	0.9975	0.9502	1.119	1	1
196649	2.49	1.414	0.8154	0.8744	1.118	0	1
214469	0.657	0.492	0.9245	0.8842	0.5	1	1
219295	0.284	0.597	0.9833	0.9891	0.502	1	1
234638	0.556	1.1	0.8621	0.8275	0.866	1	1
235435	30.359	1.566	0.0109	0.0319	29.656	0	1
239794	0.772	0.838	1.0	1.0	0.071	1	1
246579	0.727	0.669	0.6578	0.5364	0.106	1	1
256587	0.443	0.768	0.9998	1.0	0.5	1	1
267597	0.52	0.728	0.92	0.4603	0.707	1	1
268784	0.997	1.346	0.9987	0.9976	0.5	1	1
269774	0.323	0.583	0.5606	0.152	0.871	1	1
271851	2.88	26.924	0.097	0.0142	29.77	0	0
342199	1.015	0.351	0.8923	0.9986	0.707	1	1
350186	0.251	0.251	0.6512	0.3744	0.0	1	1
360535	1.87	0.403	0.993	1.0	1.5	1	1
389538	213.001	0.542	0.9821	0.4276	212.621	0	1
422851	0.466	0.376	0.8311	0.8096	0.5	1	1
433451	0.746	0.232	0.993	1.0	0.707	1	1
437699	0.498	0.832	0.6582	0.9142	0.5	1	1
444187	0.46	0.309	0.9999	1.0	0.594	1	1
447477	0.425	0.766	0.709	0.5743	1.118	1	1
469665	0.995	1.329	0.0198	0.0112	2.139	1	1
489330	3.757	0.949	0.1329	0.6996	3.692	0	1
