evt	target	snap	pool1	mv_snap	mv_pool1
388	23009	23009	23009	0.0	0.0
10550	49072	7009	7009	0.0	0.0
30504	11001	55053	55053	1.0	0.875
38856	12004	12009	60073	0.625	0.75
42280	8001	8001	8001	0.0	0.0
46363	19001	19024	19001	0.75	0.625
52672	82148	25047	25047	0.75	0.75
54095	17007	17007	17007	0.0	0.0
69314	3004	3004	3004	0.0	0.0
74544	12001	12001	12001	0.0	0.0
81597	19006	19006	19006	0.0	0.0
90055	11002	11002	11002	0.0	0.0
111412	18001	18014	18008	0.5	0.875
131357	12006	12006	12006	0.0	0.0
137238	143041	143041	143041	0.0	0.0
163543	14001	14022	14022	0.75	0.875
168596	14012	14012	14012	0.0	0.0
172230	5009	5009	5009	0.0	0.0
174637	9006	9006	9006	0.0	0.0
196649	11028	11028	11028	0.25	0.375
214469	16013	16013	16013	0.0	0.0
219295	15003	15003	15003	0.0	0.0
234638	10006	10006	10006	0.0	0.0
235435	2001	2018	2018	1.0	1.0
239794	2003	2003	2003	0.0	0.0
246579	19006	19006	19006	0.0	0.0
256587	11082	11082	11082	0.0	0.0
267597	5007	5007	5007	0.0	0.125
268784	13002	13002	13002	0.0	0.0
269774	87155	87155	87155	0.0	0.0
271851	23001	23001	23001	0.125	0.125
342199	20006	20006	20006	0.0	0.0
350186	6001	6001	6001	0.125	0.0
360535	7022	7001	7001	0.0	0.0
389538	11002	19014	19014	0.125	0.125
422851	1005	1005	1005	0.0	0.0
433451	4007	4007	4007	0.25	0.375
437699	11005	11005	11005	0.0	0.0
444187	19002	19002	19002	0.0	0.0
447477	11001	11001	11001	0.0	0.0
469665	15003	15003	15003	1.0	1.0
489330	4004	4004	4004	0.0	0.0
