evt	nofitx_id	nofitx_d	off_id	off_d	uniW0_id	uniW0_d	snapD2_id	snapD2_d
47058	1	0.0	1	0.0	1	0.0	1	0.0
47278	1	0.296	1	0.288	1	0.288	1	0.288
47784	1	0.377	1	0.19	1	0.19	1	0.19
47916	1	0.0	1	0.0	1	0.0	1	0.0
48488	1	0.795	1	0.08	1	0.08	1	0.08
48774	1	0.819	0	5.073	0	5.073	0	5.073
49742	1	0.0	1	0.0	1	0.0	1	0.0
50182	1	0.237	1	0.179	1	0.179	1	0.179
51128	1	0.762	1	0.761	1	0.761	1	0.761
51219	1	0.95	1	0.976	1	0.976	1	0.976
51546	1	0.0	1	0.0	1	0.0	1	0.0
51868	1	0.0	0	156.1	0	156.1	1	0.0
51890	1	0.245	1	0.619	1	0.619	1	0.619
51964	1	0.248	1	0.329	1	0.329	1	0.329
52044	1	0.664	1	0.753	1	0.753	1	0.753
52605	0	29.863	0	29.787	0	29.787	0	27.463
52693	1	2.155	1	1.938	1	1.938	1	1.938
52759	1	0.0	1	0.59	1	0.59	1	0.59
53130	1	0.125	1	0.57	1	0.57	1	0.57
53658	0	72.294	0	72.546	0	72.546	0	72.546
53793	1	1.486	1	1.846	1	1.846	1	1.846
53881	0	4.866	1	0.0	1	0.0	1	0.0
54332	0	69.017	0	15.584	0	63.097	0	63.097
54508	1	0.554	1	0.153	1	0.153	1	0.153
54629	0	123.213	0	123.434	0	123.434	0	123.434
55278	1	0.0	1	0.0	1	0.0	1	0.0
55322	1	0.346	1	0.31	1	0.31	1	0.31
55542	1	0.683	1	0.12	1	0.12	1	0.12
55740	0	235.894	1	0.697	1	0.697	0	236.069
56180	1	0.989	1	1.352	1	1.352	1	1.352
56763	0	11.789	0	14.92	0	14.92	0	9.101
56939	1	0.74	1	0.0	1	0.0	1	0.0
56972	1	0.0	0	36.896	0	36.896	1	0.363
57280	1	0.0	1	0.205	1	0.205	1	0.205
57577	1	0.723	1	0.726	1	0.726	1	0.726
57709	1	0.0	1	0.0	1	0.0	1	0.0
57742	1	0.678	1	0.966	1	0.966	1	0.966
58072	1	0.687	1	0.744	1	0.744	1	0.744
58325	1	0.825	1	1.045	1	1.045	1	1.045
58919	1	0.151	1	0.229	1	0.229	1	0.229
65266	0	45.33	0	45.47	0	45.47	0	45.47
65948	1	0.149	1	0.093	1	0.093	1	0.093
66278	1	0.296	1	0.405	1	0.405	1	0.405
66366	1	0.323	1	0.957	1	0.957	1	0.957
66652	1	0.105	1	0.0	1	0.0	1	0.0
66872	0	4.768	0	13.617	0	13.617	0	5.122
66900	1	0.118	1	0.079	1	0.079	1	0.079
66944	0	49.325	0	4.327	0	49.312	0	49.312
67026	1	0.583	1	0.364	1	0.364	1	0.364
67868	1	0.185	1	0.211	1	0.211	1	0.211
67898	1	0.907	1	0.642	1	0.642	1	0.642
67928	1	0.188	1	0.618	1	0.618	1	0.618
67942	1	0.0	1	0.0	1	0.0	1	0.0
68280	1	0.662	1	0.547	1	0.547	1	0.547
68308	1	0.147	1	0.115	1	0.115	1	0.115
68748	1	0.0	1	0.0	1	0.0	1	0.0
69006	1	0.475	1	0.381	1	0.381	1	0.381
69144	1	0.376	1	0.605	1	0.605	1	0.605
69152	1	0.634	1	0.222	1	0.222	1	0.222
69232	0	28.499	0	24.346	0	24.346	0	26.487
69254	1	0.503	0	2.742	0	2.742	0	2.136
69306	1	1.172	1	1.42	1	1.42	1	1.42
69666	0	4.056	0	2.909	0	2.909	0	2.909
69936	1	1.472	1	1.333	1	1.333	1	1.333
70010	0	78.181	0	78.181	0	78.181	0	78.181
70084	1	2.615	1	0.651	1	0.651	1	0.651
70178	1	0.468	1	0.538	1	0.538	1	0.538
70186	1	0.556	1	0.612	1	0.612	1	0.612
70472	1	1.615	1	0.984	1	0.984	1	0.984
70538	1	0.83	1	0.426	1	0.426	1	0.426
70612	0	44.85	0	44.948	0	44.948	0	44.948
70692	1	0.427	1	0.213	1	0.213	1	0.213
70766	1	0.0	1	0.0	1	0.0	1	0.0
70912	1	0.211	1	0.606	1	0.606	1	0.606
71022	1	0.033	1	0.0	1	0.0	1	0.0
71092	0	54.097	0	7.775	0	54.135	0	54.135
71748	1	1.169	1	0.555	1	0.555	1	0.555
71778	1	0.0	1	0.0	1	0.0	1	0.0
