evt	d_target_base	d_target_off	n_base	n_off	R0	R1	snap_cm	R2	target_gap	R3_uniW0
47058	0.0	0.0	24	24	1	1	0.0	1	0.0	1
47278	0.159	0.296	27	27	1	1	0.159	1	0.388	1
47784	0.425	0.377	16	16	1	1	0.425	1	0.375	1
47916	0.049	0.0	5	5	1	1	0.049	1	0.049	1
48488	0.334	0.795	12	11	1	1	0.334	1	0.911	1
48774	0.932	0.819	10	9	0	1	0.932	1	0.238	0
49742	0.0	0.0	12	12	1	1	0.0	1	0.0	1
50182	0.274	0.237	9	9	1	1	0.274	1	0.102	1
51128	0.757	0.762	48	48	1	1	0.757	1	0.012	1
51219	1.153	0.95	31	31	1	1	1.153	1	0.334	1
51546	0.0	0.0	28	26	1	1	0.0	1	0.0	1
51868	0.0	0.0	25	25	0	1	0.0	1	0.0	0
51890	0.537	0.245	13	13	1	1	0.537	1	0.372	1
51964	0.452	0.248	7	7	1	1	0.452	1	0.435	1
52044	0.781	0.664	49	50	1	1	0.781	1	0.216	1
52605	0.054	0.0	24	24	0	0	0.201	0	0.054	0
52693	1.987	2.155	37	38	1	1	1.987	1	0.225	1
52759	0.246	0.0	15	15	1	1	0.246	1	0.246	1
53130	0.296	0.125	7	7	1	1	0.296	1	0.372	1
53658	0.937	0.0	19	19	0	0	0.0	0	0.937	0
53793	1.736	1.486	19	20	1	1	1.736	1	0.812	1
53881	0.0	0.0	10	11	1	0	4.866	1	0.0	1
54332	5.842	0.002	119	120	0	0	0.77	0	5.842	0
54508	0.548	0.554	11	11	1	1	0.548	1	0.219	1
54629	0.268	0.195	17	16	0	0	0.0	0	0.251	0
55278	0.186	0.0	13	13	1	1	0.186	1	0.186	1
55322	0.458	0.346	23	23	1	1	0.458	1	0.781	1
55542	0.743	0.683	12	10	1	1	0.743	1	0.192	1
55740	0.121	0.0	42	40	1	0	1.249	0	0.121	1
56180	0.679	0.989	47	47	1	1	0.679	1	0.539	1
56763	0.747	0.0	20	21	0	0	0.746	0	0.747	0
56939	0.692	0.74	13	13	1	1	0.692	1	0.079	1
56972	0.0	0.0	25	23	0	1	0.0	1	0.0	0
57280	0.151	0.182	15	14	1	1	0.205	1	0.205	1
57577	0.811	0.723	13	13	1	1	0.811	1	0.108	1
57709	0.0	0.0	46	45	1	1	0.0	1	0.0	1
57742	0.572	0.678	15	15	1	1	0.572	1	0.168	1
58072	1.095	0.687	19	19	1	1	1.095	1	0.415	1
58325	0.849	0.825	23	23	1	1	0.849	1	0.811	1
58919	0.279	0.151	27	27	1	1	0.279	1	0.134	1
65266	0.167	0.0	21	22	0	0	0.0	0	0.167	0
65948	4.761	4.947	31	31	1	1	0.404	1	0.342	1
66278	0.303	0.296	18	19	1	1	0.303	1	0.448	1
66366	0.233	0.323	27	27	1	1	0.233	1	0.247	1
66652	0.105	0.105	16	16	1	1	0.105	1	0.0	1
66872	0.934	0.934	25	26	0	0	0.365	0	0.0	0
66900	0.195	0.118	58	58	1	1	0.195	1	0.242	1
66944	0.523	0.0	11	11	0	0	0.904	0	0.523	0
67026	0.491	0.583	11	11	1	1	0.491	1	0.285	1
67868	0.523	0.185	63	63	1	1	0.523	1	0.426	1
67898	0.911	0.907	3	3	1	1	0.911	1	0.294	1
67928	0.405	0.188	28	28	1	1	0.405	1	0.396	1
67942	0.0	0.0	8	8	1	1	0.0	1	0.0	1
68280	1.24	0.662	33	33	1	1	1.24	1	0.613	1
68308	0.211	0.147	15	14	1	1	0.211	1	0.321	1
68748	0.0	0.0	16	16	1	1	0.0	1	0.0	1
69006	0.787	0.475	58	58	1	1	0.787	1	0.742	1
69144	0.58	0.376	16	16	1	1	0.58	1	0.209	1
69152	0.857	0.634	5	5	1	1	0.857	1	0.27	1
69232	1.646	0.0	22	22	0	0	1.136	0	1.646	0
69254	0.558	0.503	23	21	0	1	0.558	1	0.212	0
69306	1.172	1.172	31	31	1	1	1.172	1	0.0	1
69666	0.125	0.125	46	47	0	0	0.607	0	0.001	0
69936	1.472	1.472	10	10	1	1	1.472	1	0.0	1
