evt	d_target_base	d_target_off	n_base	n_off	R0	R1	snap_cm	R2	target_gap	R3_uniW0	R3_snapD2	R3_vox
388	0.526	0.217	139	146	1	1	0.526	1	0.433	1	1	1
10550	0.0	0.0	95	99	0	0	0.339	0	0.0	0	0	0
30504	0.0	0.0	83	84	0	0	2.175	0	0.0	0	0	0
38856	0.095	0.0	79	81	0	0	2.05	0	0.095	0	0	0
42280	0.285	0.128	119	118	1	1	0.285	1	0.263	1	1	1
46363	0.0	0.0	124	139	0	1	0.0	1	0.0	1	1	1
52672	0.92	0.0	126	131	0	0	0.0	0	0.92	0	0	0
54095	0.446	0.0	144	151	1	1	0.446	1	0.446	1	1	1
69314	0.606	0.113	75	76	1	1	0.606	1	0.527	1	1	1
74544	0.482	0.472	74	79	1	1	0.482	1	0.19	1	1	1
81597	0.292	0.305	91	92	1	1	0.292	1	0.151	1	1	1
90055	0.313	0.121	155	156	1	1	0.313	1	0.277	1	1	1
111412	2.069	1.035	64	64	0	1	2.069	1	1.375	0	0	0
131357	0.626	0.695	65	65	1	1	0.626	1	0.117	1	1	1
137238	0.892	0.556	50	50	1	1	0.975	1	0.377	1	1	1
163543	0.504	0.504	124	122	0	0	0.219	0	0.0	0	0	0
168596	0.719	0.694	135	140	1	1	0.719	1	0.06	1	1	1
172230	0.483	0.371	107	102	1	1	0.483	1	0.122	1	1	1
174637	1.065	0.839	80	82	1	1	1.065	1	0.234	1	1	1
196649	0.166	0.166	84	81	1	1	0.166	1	0.0	1	1	1
214469	0.221	0.255	125	135	1	1	0.221	1	0.126	1	1	1
219295	0.085	0.0	101	106	1	1	0.085	1	0.085	1	1	1
234638	0.735	1.012	134	136	1	1	0.735	1	0.311	1	1	1
235435	0.0	0.0	32	29	0	1	0.0	1	0.0	1	1	1
239794	0.7	0.861	151	157	1	1	0.7	1	0.292	1	1	1
246579	0.284	0.116	128	137	1	1	0.284	1	0.217	1	1	1
256587	0.482	0.577	241	241	1	1	0.482	1	0.28	1	1	1
267597	0.288	0.346	149	147	1	1	0.288	1	0.071	1	1	1
268784	0.398	0.0	115	122	1	1	0.398	1	0.398	1	1	1
269774	0.111	0.0	210	204	1	1	0.111	1	0.111	1	1	1
271851	2.754	0.018	108	109	1	0	3.694	0	2.752	1	1	0
342199	1.106	0.573	89	90	1	1	1.106	1	0.534	1	1	1
350186	0.089	0.085	61	63	1	1	0.089	1	0.05	1	1	1
360535	0.364	0.203	100	112	0	0	0.926	0	0.175	0	0	0
389538	0.304	0.182	87	90	0	1	0.304	1	0.18	0	1	1
422851	0.436	0.313	126	129	1	1	0.436	1	0.504	1	1	1
433451	0.367	0.109	224	228	1	1	0.367	1	0.372	1	1	1
437699	1.939	0.635	107	107	1	1	1.939	1	1.348	1	1	1
444187	0.377	0.415	21	21	1	1	0.377	1	0.174	1	1	1
447477	0.334	0.084	90	90	1	1	0.334	1	0.398	1	1	1
469665	0.758	1.305	66	64	0	1	0.758	1	0.625	0	0	0
489330	0.527	0.388	81	78	1	1	0.527	1	0.168	1	1	1
