arm	evt	hit_base	hit_arm	moved	d_base	d_arm	adverse	rescued	nue_b	nue_a	numu_b	numu_a	agree	transferred	dual_d	has_vertex	off_ms	route
work-pr112i-snapD2-mcp1k	166738	1	1	0	0.3379223149057317	0.3379223149057317	0	0	-15.0	-15.0	3.901160717010498	3.901160717010498	True	False	0.9502586844932542	True	2545.419828	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	166804	0	0	0	24.61457704210037	24.61457704210037	0	0	-15.0	-15.0	-1.2655905485153198	-1.2655905485153198	True	True	0.15511914415116548	True	1138.29017	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	167112	1	1	0	0.20631363101373734	0.20631363101373734	0	0	-15.0	-15.0	3.56064510345459	3.56064510345459	True	False	0.3662520523808002	True	1568.00643	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	167684	1	1	0	0.13071327365273266	0.13071327365273266	0	0	-15.0	-15.0	-1.5693708658218384	-1.5693708658218384	True	True	0.09094551451044464	True	1041.983451	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	168432	0	1	1	7.709922854045937	1.0872611898419096	0	0	-15.0	-4.300936222076416	2.0067663192749023	1.8629826307296753	True	True	1.09981238884524	True	1534.984415	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	168526	1	1	0	0.2423755869241581	0.2423755869241581	0	0	-15.0	-15.0	3.7231152057647705	3.7231152057647705	True	False	0.5122865309346865	True	7733.652441	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	168614	1	1	0	1.534415156676383	1.534415156676383	0	0	-15.0	-15.0	2.364877939224243	2.364877939224243	True	True	1.5344183895367405	True	1741.687062	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	168658	1	1	0	1.6349060420491763e-05	1.6349060420491763e-05	0	0	-15.0	-15.0	1.9718239307403564	1.9718239307403564	True	True	0.0	True	1392.02265	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	169356	1	1	0	0.7173375318113574	0.7173375318113574	0	0	-15.0	-15.0	0.9956201910972595	0.9956201910972595	True	False	0.27513167681460404	True	2290.773897	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	169488	1	1	0	5.009819857103216e-06	5.009819857103216e-06	0	0	-15.0	-15.0	-1.7560523748397827	-1.7560523748397827	True	False	0.0	True	1181.298075	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	169598	1	1	0	0.08897070703515494	0.08897070703515494	0	0	-15.0	-15.0	-1.4645265340805054	-1.4645265340805054	True	True	0.5560660909165949	True	1338.898658	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	169620	1	1	0	0.07170725978055485	0.07170725978055485	0	0	-15.0	-15.0	3.660632371902466	3.660632371902466	True	False	0.050734426296101934	True	2058.439757	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	169626	0	1	1	59.555445842981584	1.4549120393127306e-05	0	1	-4.300936222076416	-15.0	-1.0180896520614624	0.18793706595897675	True	True	0.0	True	2126.83942	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	169774	0	0	0	12.127481796994672	12.127481796994672	0	0	-15.0	-15.0	-2.0771756172180176	-2.0771756172180176	True	True	0.0	True	1129.072543	dl-dual-snap-accept
