mode,sample,apa,channel,in_chmask,n_flash,n_zero,zerofrac_all,n_bright,n_zero_bright,zerofrac_bright
data,100,0,6,0,1343,80,0.0596,569,1,0.0018
data,100,0,8,0,1343,113,0.0841,569,1,0.0018
data,100,0,10,0,1343,47,0.0350,569,0,0.0000
data,100,0,12,0,1343,44,0.0328,569,1,0.0018
data,100,0,14,0,1343,62,0.0462,569,1,0.0018
data,100,0,16,0,1343,59,0.0439,569,0,0.0000
data,100,0,36,0,1343,85,0.0633,569,0,0.0000
data,100,0,38,0,1343,174,0.1296,569,2,0.0035
data,100,0,40,0,1343,66,0.0491,569,0,0.0000
data,100,0,60,0,1343,55,0.0410,569,0,0.0000
data,100,0,62,0,1343,41,0.0305,569,0,0.0000
data,100,0,64,1,1343,58,0.0432,569,23,0.0404
data,100,0,66,1,1343,1343,1.0000,569,569,1.0000
data,100,0,68,0,1343,10,0.0074,569,0,0.0000
data,100,0,70,0,1343,37,0.0276,569,0,0.0000
data,100,0,84,0,1343,40,0.0298,569,0,0.0000
data,100,0,86,1,1343,1343,1.0000,569,569,1.0000
data,100,0,88,0,1343,35,0.0261,569,0,0.0000
data,100,0,90,0,1343,29,0.0216,569,0,0.0000
data,100,0,92,0,1343,1343,1.0000,569,569,1.0000
data,100,0,94,0,1343,49,0.0365,569,0,0.0000
data,100,0,114,0,1343,73,0.0544,569,0,0.0000
data,100,0,116,0,1343,39,0.0290,569,0,0.0000
data,100,0,118,0,1343,105,0.0782,569,1,0.0018
data,100,0,138,1,1343,1343,1.0000,569,569,1.0000
data,100,0,140,0,1343,59,0.0439,569,0,0.0000
data,100,0,142,0,1343,28,0.0208,569,0,0.0000
data,100,0,144,0,1343,19,0.0141,569,0,0.0000
data,100,0,146,0,1343,26,0.0194,569,0,0.0000
data,100,0,148,0,1343,37,0.0276,569,0,0.0000
data,100,0,162,0,1343,40,0.0298,569,0,0.0000
data,100,0,164,0,1343,254,0.1891,569,4,0.0070
data,100,0,166,0,1343,18,0.0134,569,0,0.0000
data,100,0,168,0,1343,16,0.0119,569,0,0.0000
data,100,0,170,0,1343,1343,1.0000,569,569,1.0000
data,100,0,172,0,1343,37,0.0276,569,0,0.0000
data,100,0,192,0,1343,39,0.0290,569,0,0.0000
data,100,0,194,0,1343,62,0.0462,569,0,0.0000
data,100,0,196,0,1343,83,0.0618,569,1,0.0018
data,100,0,216,0,1343,60,0.0447,569,1,0.0018
data,100,0,218,0,1343,1343,1.0000,569,569,1.0000
data,100,0,220,0,1343,38,0.0283,569,0,0.0000
data,100,0,222,1,1343,1343,1.0000,569,569,1.0000
data,100,0,224,0,1343,17,0.0127,569,0,0.0000
data,100,0,226,1,1343,1343,1.0000,569,569,1.0000
data,100,0,240,0,1343,46,0.0343,569,0,0.0000
