# stm_fit-global cluster_id remap for /nfs/data/1/xqian/toolkit-dev/wcp-porting-img/sbnd/sbnd_xin/scan-d59k/bee/nofc393.zip
# event	bee_idx	pr_cluster_id	img_cluster_id	note	img_constituents(id:npts)
48301	0	13	10	flash-matched	10:973
48367	1	19	7	flash-matched	7:4057
48895	2	17	5	flash-matched	5:3865
49951	3	16	17	flash-matched	17:937
50765	4	15	8	flash-matched	8:2543, 17:220
50787	5	6	9	flash-matched	9:438
51051	6	19	22	flash-matched	22:1724, 9:369
52613	8	2	8	flash-matched	8:114
52723	9	7	17	flash-matched	17:548
54175	10	18	10	flash-matched	10:1821
55595	12	8	8	flash-matched	8:3203
55627	13	22	7	flash-matched	7:1559
55715	14	15	9	flash-matched	9:633
56243	15	9	13	flash-matched	13:1619
56387	16	11	23	flash-matched	23:5139
56463	17	12	14	flash-matched	14:1876
57575	18	12	13	flash-matched	13:2255, 19:1338
57661	19	18	22	flash-matched	22:1045
58343	22	16	21	flash-matched	21:1997
58345	23	7	13	flash-matched	13:734
58653	24	4	7	flash-matched	7:974
58667	25	6	14	flash-matched	14:60
58711	26	15	9	flash-matched	9:177
58755	27	21	7	flash-matched	7:5570
59003	28	18	3	flash-matched	3:2100
59025	29	19	11	flash-matched	11:1720, 6:882, 19:600
59063	30	14	6	flash-matched	6:503
59085	31	3	7	flash-matched	7:527
59179	32	15	7	flash-matched	7:1445
59371	33	8	23	flash-matched	23:1208
59377	34	7	8	flash-matched	8:267
59459	35	20	18	flash-matched	18:3988
59685	37	6	11	flash-matched	11:1721
59723	38	13	6	flash-matched	6:2006
59863	39	15	21	flash-matched	21:2896
59929	40	20	18	flash-matched	18:1281
60017	41	7	18	flash-matched	18:413
61093	42	6	7	flash-matched	7:329
61313	43	18	5	flash-matched	5:312
61351	44	17	11	flash-matched	11:3019
61417	45	9	15	flash-matched	15:1553
61997	46	12	14	flash-matched	14:1454
62019	47	9	11	flash-matched	11:655
62303	48	12	14	flash-matched	14:1213
62459	49	10	19	flash-matched	19:2259
62473	50	12	5	flash-matched	5:225
62495	51	16	24	flash-matched	24:864
62613	52	17	19	flash-matched	19:11061
62943	53	24	12	flash-matched	12:687
62979	54	11	14	flash-matched	14:1185
63163	56	6	14	flash-matched	14:3240
63515	58	1	3	flash-matched	3:1448
63559	59	11	16	flash-matched	16:1260
63603	60	13	15	flash-matched	15:1018, 6:235
63669	61	5	4	flash-matched	4:1959
64409	63	8	11	flash-matched	11:4452
64475	64	23	16	flash-matched	16:2914
64591	65	17	3	flash-matched	3:3418
64959	67	19	12	flash-matched	12:674
65025	69	16	23	flash-matched	23:437
65053	70	6	10	flash-matched	10:1092
65053	70	9	16	flash-matched	16:541
65267	71	15	13	flash-matched	13:90
65295	72	13	16	flash-matched	16:1048
65647	73	12	9	flash-matched	9:1351
66329	74	2	7	flash-matched	7:324
66624	75	4	10	flash-matched	10:1920
66646	76	14	5	flash-matched	5:204
66712	77	11	12	flash-matched	12:1117
66822	78	13	3	flash-matched	3:5980
67394	80	18	16	flash-matched	16:2381
67746	81	10	12	flash-matched	12:4655
68054	82	18	8	flash-matched	8:659, 18:181
68648	83	15	5	flash-matched	5:1199
68956	84	13	11	flash-matched	11:3589
68978	85	18	11	flash-matched	11:1443
69066	86	3	15	flash-matched	15:786
71046	89	19	10	flash-matched	10:1858
71266	90	15	15	flash-matched	15:843
71486	91	6	12	flash-matched	12:2024
71530	92	15	4	flash-matched	4:306
72256	93	9	12	flash-matched	12:845
72586	94	17	11	flash-matched	11:3680
72828	95	7	8	flash-matched	8:124
166804	97	9	17	flash-matched	17:243
167112	98	16	4	flash-matched	4:889
167200	99	16	19	flash-matched	19:383
167398	100	3	2	flash-matched	2:1505
168388	101	6	4	flash-matched	4:101
168614	102	5	12	flash-matched	12:4331
169356	103	16	16	flash-matched	16:2061
169598	104	18	19	flash-matched	19:797
169736	105	15	20	flash-matched	20:356, 8:333
169758	106	6	12	flash-matched	12:717
169774	107	2	4	flash-matched	4:172
169890	108	21	9	flash-matched	9:2439
170792	109	10	7	flash-matched	7:1470
170808	110	14	18	flash-matched	18:1914
170924	111	16	17	flash-matched	17:408
171050	113	4	8	flash-matched	8:2633
171116	114	15	19	flash-matched	19:131
172090	116	10	14	flash-matched	14:8231
172266	117	16	7	flash-matched	7:1304, 8:322
172552	118	3	6	flash-matched	6:2174
172596	119	15	8	flash-matched	8:359
172656	120	10	10	flash-matched	10:1611, 15:1126
172788	121	26	29	flash-matched	29:4445
173146	122	15	11	flash-matched	11:1535
173498	124	6	5	flash-matched	5:2616
174224	125	20	10	flash-matched	10:4625
174422	126	13	1	flash-matched	1:2073, 16:1979
174488	127	3	2	flash-matched	2:203
174576	128	5	9	flash-matched	9:2197
174642	129	9	5	flash-matched	5:4744
174928	130	9	17	flash-matched	17:1168
175428	132	17	5	flash-matched	5:451
175808	133	18	7	flash-matched	7:1404
175896	134	17	13	flash-matched	13:1090
176022	135	9	13	flash-matched	13:2313
176160	136	10	17	flash-matched	17:1180
277276	137	8	6	flash-matched	6:1715
277958	138	13	20	flash-matched	20:416
278640	139	17	5	flash-matched	5:1074, 14:177
278662	140	1	5	flash-matched	5:2139
278684	141	10	22	flash-matched	22:1646
278794	142	7	16	flash-matched	16:1507
279445	144	19	9	flash-matched	9:1033
280092	146	6	14	flash-matched	14:471
280281	147	14	4	flash-matched	4:1013
280598	148	15	7	flash-matched	7:1218
280774	149	16	6	flash-matched	6:971
280972	150	7	19	flash-matched	19:10446, 5:3513
281095	151	20	7	flash-matched	7:4102, 10:1705
281148	152	13	9	flash-matched	9:329
281241	153	10	10	flash-matched	10:1864, 17:170
281507	156	8	8	flash-matched	8:1036
281527	157	14	15	flash-matched	15:1579
281551	158	1	3	flash-matched	3:143
281595	160	20	24	flash-matched	24:2357, 4:1162
281632	161	8	10	flash-matched	10:468
281837	163	13	17	flash-matched	17:3646
281857	164	19	6	flash-matched	6:994
281953	166	10	15	flash-matched	15:1366
282033	167	13	11	flash-matched	11:3634
282057	168	19	7	flash-matched	7:157
282072	169	7	15	flash-matched	15:3598
282217	171	9	15	flash-matched	15:4068
282385	172	11	18	flash-matched	18:1439
282459	173	10	22	flash-matched	22:983
282666	174	10	10	flash-matched	10:1886
282715	175	14	17	flash-matched	17:4844
283009	178	23	13	flash-matched	13:3212
283229	179	6	14	flash-matched	14:1766
283463	180	14	12	flash-matched	12:373
283485	181	15	6	flash-matched	6:1693
283529	182	12	9	flash-matched	9:792
283713	184	17	7	flash-matched	7:13225
283771	185	21	18	flash-matched	18:3796
283817	186	14	12	flash-matched	12:1393
283839	187	16	12	flash-matched	12:147
283905	188	4	4	flash-matched	4:985
283969	189	22	13	flash-matched	13:4601
284103	190	8	12	flash-matched	12:1993
284145	191	11	19	flash-matched	19:2841
284200	192	6	11	flash-matched	11:1365
284211	193	14	7	flash-matched	7:1620
284367	195	4	8	flash-matched	8:777
284637	196	23	13	flash-matched	13:349
284657	197	5	6	flash-matched	6:1428
284769	198	16	15	flash-matched	15:9063
284791	199	4	11	flash-matched	11:788
284794	200	12	10	flash-matched	10:7070
285080	201	19	3	flash-matched	3:2497, 14:291
285185	202	21	17	flash-matched	17:1084
285201	203	2	2	flash-matched	2:83
285366	205	13	21	flash-matched	21:527
285443	206	7	11	flash-matched	11:2320
285467	207	18	22	flash-matched	22:850
285663	209	7	15	flash-matched	15:55
285795	210	11	21	flash-matched	21:1110
285929	211	13	9	flash-matched	9:2419, 20:138
285999	212	22	11	flash-matched	11:202
286065	213	3	2	flash-matched	2:4257
286177	214	10	14	flash-matched	14:228
286180	215	6	18	flash-matched	18:420
286329	217	14	23	flash-matched	23:520
286353	218	9	6	flash-matched	6:2515
286527	219	16	24	flash-matched	24:247
286631	220	7	21	flash-matched	21:1683
286655	221	19	11	flash-matched	11:2072
286681	222	3	4	flash-matched	4:12296
286681	222	10	17	flash-matched	17:464
286906	223	9	8	flash-matched	8:1374
287007	224	12	15	flash-matched	15:816
287181	225	14	18	flash-matched	18:462
287599	226	6	9	flash-matched	9:643
287654	227	12	5	flash-matched	5:1341, 17:401
288067	230	7	10	flash-matched	10:404
288287	231	10	2	flash-matched	2:4850
288358	232	3	7	flash-matched	7:1158
288358	232	7	20	flash-matched	20:3957
288397	233	13	21	flash-matched	21:241
288639	234	8	5	flash-matched	5:1308
288859	235	9	14	flash-matched	14:7630
288864	236	2	3	flash-matched	3:94
288952	237	2	9	flash-matched	9:2907
289251	238	12	5	flash-matched	5:2910
289295	239	15	11	flash-matched	11:288
289343	240	9	7	flash-matched	7:581
289559	241	14	18	flash-matched	18:1658, 17:244, 6:176
289647	242	9	15	flash-matched	15:1569
289832	244	10	15	flash-matched	15:1697, 11:300
290201	245	9	10	flash-matched	10:1056
290294	246	12	16	flash-matched	16:262
290316	247	10	6	flash-matched	6:1943
290729	248	12	3	flash-matched	3:1418
290844	249	3	5	flash-matched	5:1071, 11:585
291301	250	18	10	flash-matched	10:172
291345	251	12	13	flash-matched	13:211
291499	252	12	19	flash-matched	19:344
291768	254	18	19	flash-matched	19:355
292005	255	18	12	flash-matched	12:2082
292027	256	12	27	flash-matched	27:2825, 26:1030
292406	257	6	14	flash-matched	14:359
292450	258	8	8	flash-matched	8:4386
292577	259	12	11	flash-matched	11:927
292687	260	11	9	flash-matched	9:1319
292797	261	27	26	flash-matched	26:1785, 7:550
315167	264	8	15	flash-matched	15:5278
315409	265	16	22	flash-matched	22:3514
315497	266	16	12	flash-matched	12:6011
315849	267	10	7	flash-matched	7:656
316311	268	11	10	flash-matched	10:798
316553	269	11	17	flash-matched	17:3224
317543	270	15	4	flash-matched	4:1032
317939	271	25	7	flash-matched	7:5617
318335	272	6	9	flash-matched	9:114
319611	273	2	3	flash-matched	3:1749
319809	274	20	11	flash-matched	11:1271
321107	276	13	3	flash-matched	3:7994
321371	277	18	22	flash-matched	22:4522
321525	278	5	14	flash-matched	14:1283
321767	279	15	10	flash-matched	10:2615, 18:2483
321789	280	7	13	flash-matched	13:224
346293	282	5	2	flash-matched	2:2670
347085	283	4	7	flash-matched	7:2225
348471	284	12	6	flash-matched	6:3095
348691	285	9	19	flash-matched	19:6829
348713	286	7	20	flash-matched	20:1315
348845	287	7	16	flash-matched	16:1038
349241	288	15	8	flash-matched	8:606
349879	290	17	17	flash-matched	17:2765
349945	291	18	9	flash-matched	9:2255
