event	verdict	n_row	n_inbeam	inbeam_labels
48301	keep	10	1	STM
48367	keep	15	1	nu-candidate
48565	no-inbeam-bundle	13	0	-
48895	keep	12	1	STM
49445	tgm	14	1	TGM
49467	tgm	14	1	TGM
49511	no-inbeam-bundle	14	0	-
49709	no-inbeam-bundle	12	0	-
49885	no-inbeam-bundle	14	0	-
49951	keep	12	1	nu-candidate
50017	no-inbeam-bundle	13	0	-
50303	all-fc	11	1	nu-candidate
50523	tgm	10	1	TGM
50743	all-fc	14	1	nu-candidate
50765	keep	11	1	STM
50787	keep	7	1	nu-candidate
50809	no-inbeam-bundle	13	0	-
50831	all-fc	12	1	nu-candidate
50919	all-fc	10	1	nu-candidate
51051	keep	13	1	nu-candidate
51469	tgm	15	1	TGM
51513	all-fc	12	1	nu-candidate
51865	keep	9	1	nu-candidate
52085	all-fc	8	1	nu-candidate
52195	tgm	12	1	TGM
52613	keep	9	1	nu-candidate
52657	all-fc	19	1	nu-candidate
52723	keep	11	1	nu-candidate
53361	all-fc	19	1	nu-candidate
53427	all-fc	10	1	nu-candidate
53493	no-inbeam-bundle	9	0	-
53581	no-inbeam-bundle	9	0	-
53713	all-fc	13	1	nu-candidate
53779	no-inbeam-bundle	12	0	-
53955	tgm	13	1	TGM
54175	keep	12	1	nu-candidate
54209	no-inbeam-bundle	11	0	-
54285	no-inbeam-bundle	10	0	-
54341	all-fc	16	1	nu-candidate
54351	all-fc	13	1	nu-candidate
54505	no-inbeam-bundle	10	0	-
54527	no-inbeam-bundle	7	0	-
55231	lm	12	1	LM
55539	all-fc	14	1	nu-candidate
55583	keep	9	1	nu-candidate
55595	keep	9	1	nu-candidate
55627	keep	16	1	nu-candidate
55693	no-inbeam-bundle	11	0	-
55715	keep	12	1	nu-candidate
55925	all-fc	12	1	nu-candidate
55957	all-fc	12	1	nu-candidate
56211	all-fc	18	1	nu-candidate
56243	keep	9	1	nu-candidate
56299	no-inbeam-bundle	10	0	-
56353	lm	10	1	LM
56387	keep	12	1	STM
56463	keep	10	1	STM
56519	no-inbeam-bundle	10	0	-
57245	all-fc	12	1	nu-candidate
57311	no-inbeam-bundle	10	0	-
57333	no-inbeam-bundle	10	0	-
57355	tgm	11	1	TGM
57441	all-fc	14	1	nu-candidate
57485	all-fc	12	1	nu-candidate
57487	all-fc	15	1	nu-candidate
57575	keep	11	1	nu-candidate
57661	keep	12	1	nu-candidate
57883	all-fc	14	1	nu-candidate
57903	all-fc	10	1	nu-candidate
57949	no-inbeam-bundle	12	0	-
58169	keep	10	1	nu-candidate
58211	keep	5	1	nu-candidate
58255	tgm	9	1	TGM
58321	all-fc	14	1	nu-candidate
58343	keep	11	1	STM
58345	keep	9	1	STM
58433	all-fc	9	1	nu-candidate
58519	no-inbeam-bundle	13	0	-
58543	tgm	11	1	TGM
58607	all-fc	15	1	nu-candidate
58653	keep	11	1	nu-candidate
58667	keep	10	1	nu-candidate
58711	keep	11	1	STM
58717	all-fc	17	1	nu-candidate
58755	keep	16	1	nu-candidate
58777	no-inbeam-bundle	10	0	-
58821	tgm	17	1	TGM
58997	no-inbeam-bundle	12	0	-
59003	keep	15	1	nu-candidate
59019	no-inbeam-bundle	14	0	-
59025	keep	13	1	nu-candidate
59047	tgm	6	1	TGM
59063	keep	9	1	STM
59069	no-inbeam-bundle	6	0	-
59085	keep	13	1	nu-candidate
59093	all-fc	11	1	nu-candidate
59179	keep	10	1	nu-candidate
59247	all-fc	13	1	nu-candidate
59261	all-fc	10	1	nu-candidate
59335	all-fc	8	1	nu-candidate
59371	keep	8	1	nu-candidate
59377	keep	5	1	STM
59415	no-inbeam-bundle	12	0	-
59459	keep	15	1	STM
59553	all-fc	9	1	nu-candidate
59663	keep	9	2	nu-candidate,nu-candidate
59685	keep	6	1	nu-candidate
59723	keep	9	1	STM
59753	all-fc	15	1	nu-candidate
59773	lm	18	1	LM
59789	no-inbeam-bundle	11	0	-
59795	no-inbeam-bundle	10	0	-
59863	keep	14	1	STM
59899	all-fc	11	1	nu-candidate
59929	keep	14	1	nu-candidate
60017	keep	10	1	nu-candidate
60119	no-inbeam-bundle	15	0	-
60345	tgm	12	1	TGM
60369	tgm	13	1	TGM
60559	tgm	12	1	TGM
60669	all-fc	14	1	nu-candidate
60763	no-inbeam-bundle	13	0	-
60933	all-fc	13	1	nu-candidate
60985	tgm	11	1	TGM
61071	all-fc	10	1	nu-candidate
61093	keep	13	1	STM
61307	tgm	10	1	TGM
61313	keep	13	1	STM
61351	keep	11	1	nu-candidate
61417	keep	9	1	nu-candidate
61461	all-fc	7	1	nu-candidate
61483	no-inbeam-bundle	11	0	-
61579	all-fc	13	1	nu-candidate
61637	tgm	10	1	TGM
61681	all-fc	11	2	TGM,nu-candidate
61711	all-fc	10	1	nu-candidate
