# retire_20260816.sh  tiers=A
# started              2026-08-16T07:20:47-07:00
# wcp-porting-img HEAD f80005b
# toolkit HEAD         771f075b
# broken symlinks pre  0
# du -sh sbnd_xin pre  158G
# df /nfs/data/1 pre   400G avail
iso_ts	dir	tier	MB	archive_tarball	dir_mtime	citations
2026-08-16T07:20:48-07:00	work-gate0813-head48	A	183	work-gate0813-head48.tar.gz	2026-08-13T20:00:30-07:00	0
2026-08-16T07:20:48-07:00	work-gate0813-merged48	A	183	work-gate0813-merged48.tar.gz	2026-08-13T20:06:39-07:00	0
2026-08-16T07:20:48-07:00	work-gate0813-on48	A	258	work-gate0813-on48.tar.gz	2026-08-13T20:07:54-07:00	0
2026-08-16T07:20:48-07:00	work-gate0813-repeat48	A	183	work-gate0813-repeat48.tar.gz	2026-08-13T20:16:48-07:00	0
2026-08-16T07:20:48-07:00	work-gate0813-trace10550	A	6	work-gate0813-trace10550.tar.gz	2026-08-13T20:39:56-07:00	0
2026-08-16T07:20:48-07:00	work-hvdiag0815-trace	A	12	work-hvdiag0815-trace.tar.gz	2026-08-15T11:09:53-07:00	0
2026-08-16T07:20:48-07:00	work-hvdiag0815-trace2	A	15	work-hvdiag0815-trace2.tar.gz	2026-08-15T11:28:46-07:00	0
2026-08-16T07:20:48-07:00	work-hvdiag0815-trace3	A	1	work-hvdiag0815-trace3.tar.gz	2026-08-15T11:29:49-07:00	0
2026-08-16T07:20:48-07:00	work-hvdiag0815-trace4	A	4	work-hvdiag0815-trace4.tar.gz	2026-08-15T11:30:31-07:00	0
2026-08-16T07:20:48-07:00	work-hvgate0815-det1	A	3	work-hvgate0815-det1.tar.gz	2026-08-15T10:36:29-07:00	0
2026-08-16T07:20:48-07:00	work-hvgate0815-det2	A	3	work-hvgate0815-det2.tar.gz	2026-08-15T10:36:37-07:00	0
2026-08-16T07:20:48-07:00	work-hvgate0815-off2	A	3	work-hvgate0815-off2.tar.gz	2026-08-15T11:25:15-07:00	0
2026-08-16T07:20:48-07:00	work-hvgate0815-on1	A	6	work-hvgate0815-on1.tar.gz	2026-08-15T11:05:43-07:00	0
