# retire_20260819.sh  tiers=A
# started              2026-08-19T22:23:54-07:00
# wcp-porting-img HEAD efed08b
# toolkit HEAD         fd6a116d
# broken symlinks pre  0
# du -sh sbnd_xin pre  149G
# df /nfs/data/1 pre   880G avail
iso_ts	dir	tier	MB	archive_tarball	dir_mtime	citations
2026-08-19T22:23:54-07:00	work-mcp1k-latestcheck	A	5	work-mcp1k-latestcheck.tar.gz	2026-08-17T15:53:59-07:00	0
2026-08-19T22:23:55-07:00	work-mcp2k-latestcheck	A	17	work-mcp2k-latestcheck.tar.gz	2026-08-17T15:54:14-07:00	0
2026-08-19T22:23:55-07:00	work-nuecc48-latestcheck	A	3	work-nuecc48-latestcheck.tar.gz	2026-08-17T15:54:24-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r7-nobreak	A	3	work-pr40r7-nobreak.tar.gz	2026-08-17T16:25:39-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r7-spot19	A	2	work-pr40r7-spot19.tar.gz	2026-08-17T16:28:30-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r7-spot48	A	4	work-pr40r7-spot48.tar.gz	2026-08-17T16:28:21-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r7-teboff	A	3	work-pr40r7-teboff.tar.gz	2026-08-17T16:24:59-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r7-trace	A	3	work-pr40r7-trace.tar.gz	2026-08-17T16:26:08-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r7-trace2k	A	3	work-pr40r7-trace2k.tar.gz	2026-08-17T16:26:32-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r7cen-mcp1k	A	2813	work-pr40r7cen-mcp1k.tar.gz	2026-08-17T16:42:24-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r7cen-ncpi0	A	68	work-pr40r7cen-ncpi0.tar.gz	2026-08-17T16:31:09-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r7cen-nuecc48	A	185	work-pr40r7cen-nuecc48.tar.gz	2026-08-17T16:32:25-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r9-bare-mcp1k	A	154	work-pr40r9-bare-mcp1k.tar.gz	2026-08-18T13:16:49-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r9-bare-ncpi0	A	95	work-pr40r9-bare-ncpi0.tar.gz	2026-08-18T13:18:40-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r9-bare-nuecc48	A	261	work-pr40r9-bare-nuecc48.tar.gz	2026-08-18T13:18:11-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r9-off-mcp1k	A	154	work-pr40r9-off-mcp1k.tar.gz	2026-08-18T13:01:56-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r9-off-ncpi0	A	95	work-pr40r9-off-ncpi0.tar.gz	2026-08-18T13:03:47-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r9-off-nuecc48	A	260	work-pr40r9-off-nuecc48.tar.gz	2026-08-18T13:03:18-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r9-on-mcp1k	A	154	work-pr40r9-on-mcp1k.tar.gz	2026-08-18T13:04:25-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r9-on-ncpi0	A	95	work-pr40r9-on-ncpi0.tar.gz	2026-08-18T13:06:14-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r9-on-nuecc48	A	261	work-pr40r9-on-nuecc48.tar.gz	2026-08-18T13:05:45-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r9-prechange-ref-mcp1k	A	5	work-pr40r9-prechange-ref-mcp1k.tar.gz	2026-08-18T13:13:18-07:00	0
2026-08-19T22:23:55-07:00	work-pr40r9-prechange-ref-ncpi0	A	5	work-pr40r9-prechange-ref-ncpi0.tar.gz	2026-08-18T13:13:30-07:00	0
2026-08-19T22:23:55-07:00	work-pr83r2-base-mc	A	12	work-pr83r2-base-mc.tar.gz	2026-08-17T16:26:54-07:00	0
2026-08-19T22:23:55-07:00	work-pr83r2-base-nue	A	16	work-pr83r2-base-nue.tar.gz	2026-08-17T16:26:36-07:00	0
2026-08-19T22:23:55-07:00	work-pr83r2-nointerp-mc	A	12	work-pr83r2-nointerp-mc.tar.gz	2026-08-17T16:28:44-07:00	0
2026-08-19T22:23:55-07:00	work-pr83r2-nointerp-nue	A	16	work-pr83r2-nointerp-nue.tar.gz	2026-08-17T16:28:31-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2-nostraight-mc	A	12	work-pr83r2-nostraight-mc.tar.gz	2026-08-17T16:29:22-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2-nostraight-nue	A	16	work-pr83r2-nostraight-nue.tar.gz	2026-08-17T16:29:10-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-diag-mc	A	8	work-pr83r2b-diag-mc.tar.gz	2026-08-17T16:50:19-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-diag-ncpi0	A	28	work-pr83r2b-diag-ncpi0.tar.gz	2026-08-17T16:50:09-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-diag-nue	A	29	work-pr83r2b-diag-nue.tar.gz	2026-08-17T16:49:48-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-diag2-mc	A	2	work-pr83r2b-diag2-mc.tar.gz	2026-08-17T16:52:18-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-diag2-nue	A	8	work-pr83r2b-diag2-nue.tar.gz	2026-08-17T16:52:10-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-lineage-246579	A	5	work-pr83r2b-lineage-246579.tar.gz	2026-08-17T16:54:52-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-lineage-350935	A	5	work-pr83r2b-lineage-350935.tar.gz	2026-08-17T16:54:28-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-lineage-506746	A	5	work-pr83r2b-lineage-506746.tar.gz	2026-08-17T16:55:04-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-stage-246579	A	12	work-pr83r2b-stage-246579.tar.gz	2026-08-17T17:00:53-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-stage-350935	A	6	work-pr83r2b-stage-350935.tar.gz	2026-08-17T17:00:29-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-stage-506746	A	7	work-pr83r2b-stage-506746.tar.gz	2026-08-17T17:01:06-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-stage2-350935	A	6	work-pr83r2b-stage2-350935.tar.gz	2026-08-17T17:03:26-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-stage2-506746	A	7	work-pr83r2b-stage2-506746.tar.gz	2026-08-17T17:03:38-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-stage3-350935	A	6	work-pr83r2b-stage3-350935.tar.gz	2026-08-17T17:29:02-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-swap-350935	A	6	work-pr83r2b-swap-350935.tar.gz	2026-08-17T17:29:52-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-trace-mc	A	8	work-pr83r2b-trace-mc.tar.gz	2026-08-17T16:45:46-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-trace-ncpi0	A	28	work-pr83r2b-trace-ncpi0.tar.gz	2026-08-17T16:45:35-07:00	0
2026-08-19T22:23:56-07:00	work-pr83r2b-trace-nue	A	29	work-pr83r2b-trace-nue.tar.gz	2026-08-17T16:45:15-07:00	0
