# doc 81 sec 8.1 reference-side member-content hashes
# arm=work-pr112i-snapD2-ncpi0 products=57
#evt	product	rollup_sha256	members_or_branches
18625	mabc-pr.zip	01686b7d8cdd0bf859dc75699231027c37c945290995ef03cfc7e90180b074ce	7
18625	pctree-pr-evt18625.tar.gz	f20f39b8c5831d5ca791d7da76e867f9ab4b70ff2c51606558edfbbf4676f496	429
18625	tracking-pr.root	24d00e005fa43a77777b01aae5dd7206b87112d5731bcaa787443128f50ef061	1290
21073	mabc-pr.zip	9e64ea693ee72fc13f627c188bc00fa7f08f64232d17ec0821ad9ed8f9e41d7a	7
21073	pctree-pr-evt21073.tar.gz	37bc86e00acc1c6ba548222d43b244879b897eb314c9e9450095fa6a00b12c25	427
21073	tracking-pr.root	dac727bb4009236fda5c983ca32cb1efc20dccbb77adc73e9d65823ad815c7c3	1290
37112	mabc-pr.zip	39b8458ee54dce28eea88bd41248b98b8cd2963b2dd6fbd9cca745cb3209d0ec	7
37112	pctree-pr-evt37112.tar.gz	cb9424dacb4d0d54c5b125bf5445feb609f127438b6ec5a4c21a714b65ff434a	427
37112	tracking-pr.root	f9656687c8918caff6deb03cdfde685aa9fe7e17217b4bafffe5f5324b8acf96	1290
56982	mabc-pr.zip	f3000a1d44839f754bb0155d52215fa132f3f099fa3392d70f4a95a0f5dc664c	7
56982	pctree-pr-evt56982.tar.gz	4b9022cbc45f29c88dbb77d07b225eb2ebed8f28f29bed7776f2b08c31cb7f45	427
56982	tracking-pr.root	b768a29ae1d937795a7ae1d5f233109eccffbb767f651d1281a0cb61d31950cd	1290
71372	mabc-pr.zip	f949a4638c0c2b89eb55666af58455fa30d93f0da99050def651b6dc551fb812	7
71372	pctree-pr-evt71372.tar.gz	6705ac010ed190c8b221461b903b91f8f15c12eca8efd97d2ad9eac87b5c8d5e	423
71372	tracking-pr.root	4455c7fd37740b335727a958e8237aa448bf1020f745df8841de7681c6d414d0	1290
84229	mabc-pr.zip	602c99a60a31f02d9ff0a7c9dd37e1746c4eea966a42bc8f768126c48970f78c	7
84229	pctree-pr-evt84229.tar.gz	b1b71dbb62d3cea74fd87aaef8418d040c4ffd1e97fef0acfeb2e74d80c7f405	425
84229	tracking-pr.root	221e87338c6762cc1a94fa57d55d1f030ba0dbdf19ac99876740760cc47b44c2	1290
105946	mabc-pr.zip	21ac011e5f3506c748d84df4f89cfd6d4e9346df2f8cd8cf625966aed3afabee	7
105946	pctree-pr-evt105946.tar.gz	24bde53dd2d996115037e9b36750f04ebec8bee55d67a676c2d1b79c6c369419	425
105946	tracking-pr.root	bb1288c17f6b8e6d264fea4af62f35b7314b2aae148965990f1b95c2b3f6290c	1290
114446	mabc-pr.zip	af8acd286c37dcf2d5cd436e4ec642cf4b1af480fc970b9f5147f77c1cd595c4	7
114446	pctree-pr-evt114446.tar.gz	69d0252b667ed0bbd7c739fe7a04b0ff12f47d6fe3a49e2fe64138892728070f	429
114446	tracking-pr.root	afa70a8d8c2238a61fb7e4f7b772998d65041c3543ee696271fe0e17d5546697	1290
142421	mabc-pr.zip	7da5df68622c9ef2963fe897dfe1d4a72f73e1e276b5751d4d4e5ac19ad188b5	7
142421	pctree-pr-evt142421.tar.gz	488efb05ac13e45ae4637bb0d26686a96f4648be630bcf42bde97a7e422698b4	423
142421	tracking-pr.root	e9d47a499a3775ae7a0d2c58e71b2fa0d2f95363a88dc004a52a45e83d6d9e0e	1290
180801	mabc-pr.zip	63050f0fa44f33e3d894571c02465a01e4fe78c42ac70fb0af49dce990f787dc	7
180801	pctree-pr-evt180801.tar.gz	fc3967cb2bb0579512b1ab69e1156000f5d29aa934285beeeda7b5834700c87b	427
180801	tracking-pr.root	42cf8a44b543cceed26be3ba0c35bb2e0ee99305cfe3149a6420b4c35f68c401	1290
259542	mabc-pr.zip	a1537919a3dd2e03921129912b16b2435d7feff3a6d14c943489bb7d46a0a269	7
259542	pctree-pr-evt259542.tar.gz	a8f13eeed9bd56a173dd387b621636f0241e516f0e93ab2bf9e4608ec92a6f14	425
259542	tracking-pr.root	0c9a0751b6c7f0d757e6a2d3967a8470095cf46de4e1b5ceac5f03e2eced314e	1290
285567	mabc-pr.zip	729f282b917ccf9d61439da1349e128a14e801791d0b59efb4d9863ad56f07bb	7
285567	pctree-pr-evt285567.tar.gz	29ff7a420542ad5b35c9ce3d5543f1484cfa0fca273864bced2d2f80d7c82833	427
285567	tracking-pr.root	ee824080ee8f69ea5efa1cf432dd0996f267f17cdface51120bdc5066f76c7ab	1290
314838	mabc-pr.zip	3e48f5f5e6f04d073b2a4a0d6a5ca5ffbdf2fb252c944a69039954b670f64de1	7
314838	pctree-pr-evt314838.tar.gz	2fd6db7403def8c01162a05195b11366c21955ff0cca291ccb341fd5e57f4499	425
314838	tracking-pr.root	18b4764e235a2d73549c7b4479a74c67392f83cfbc01a4c025e561cc33055a19	1290
359980	mabc-pr.zip	b1df4861da8e2652abe128c20c2aef45895f88e9ca4697245b3f97af53043a0e	7
359980	pctree-pr-evt359980.tar.gz	5b7c37ee5185f1e266491a0f71b17fe93005b19fdf0cb5ded6c5e7c4159a6f00	427
359980	tracking-pr.root	67ef777db70df824f2ae5a0ede5a700635b242aa6a79f8fd1651627dbb9ecd59	1290
399860	mabc-pr.zip	827f29029618597a570e5321b8dda2bcafdf0907dd786235060ba2d150665bfa	7
399860	pctree-pr-evt399860.tar.gz	ce9c5f173b1344e07e20ea2f60c9b162f1d60369cee62445a2a0f40f76b2648b	425
399860	tracking-pr.root	d083ec55411b7eaee700c169329f75c52eacf39df434822d1dd3910d7a0e8443	1290
463565	mabc-pr.zip	faf323b198ed3a9822912555afefff1746d125eb37f313c7c22d9a5b23831ce5	7
463565	pctree-pr-evt463565.tar.gz	5a5d38d1416d61573a1f74b3cfba8e0850e3d431984d4ba75b2f0176dcf9bd10	425
463565	tracking-pr.root	a27674a938c1e5f28363b949f4ffc23efa5b4aabe44338a5e59f82d0a8f04f77	1290
506114	mabc-pr.zip	0117fdde0aab0c71c9cada9722a5bb79dde6a60a659e612541e21844b734098e	7
506114	pctree-pr-evt506114.tar.gz	0e0bea65680655d1d92bd756106abc859a8f1de59fdd5f65153d2e68a9d4c5f6	427
506114	tracking-pr.root	5127de3983201074580febb5624678dd25ff61967c2f282ec6c8114eee448a2b	1290
506746	mabc-pr.zip	d5e73691efcf4f9ce514f2d79bca2c44bbd267e27f04620db4e1844043761e18	7
506746	pctree-pr-evt506746.tar.gz	eec0e5d1807ab88c12f7a6826cc90e48f434ccb8cec0a51908461a5ec0b4e504	425
506746	tracking-pr.root	0068bbd029876691c75c59cab7a805e124f4c9c68fc5eebe7d1ad7624c4b36b6	1290
521075	mabc-pr.zip	8f7e2de04171f81975f8305bab2e46e13091efe8a730a2137dcc91d9ea9391ff	7
521075	pctree-pr-evt521075.tar.gz	5619ccf62f07a0381b4242dd44dc57d253e5c871a07974f5b2a31d8b73c4ad0b	427
521075	tracking-pr.root	03d45d2dcd843f63d6b0adfe887bcfb9cedd605b2ad8f60d66fc040afdf326ca	1290
