# retire_20260831.sh  tiers=A
# started              2026-08-30T18:53:50-07:00
# wcp-porting-img HEAD fcf4df36
# toolkit HEAD         30d4263e
# broken symlinks pre  0
# du -sh sbnd_xin pre  172G
# df /nfs/data/1 pre   1.4T avail
iso_ts	dir	tier	MB	archive_tarball	dir_mtime	citations
2026-08-30T18:53:51-07:00	work-pr128r1-on141-mcp1k	A	243	work-pr128r1-on141-mcp1k.tar.gz	2026-08-29T12:31:53-07:00	0
2026-08-30T18:53:51-07:00	work-pr128r1-on141-mcp2k	A	424	work-pr128r1-on141-mcp2k.tar.gz	2026-08-29T12:33:03-07:00	0
2026-08-30T18:53:51-07:00	work-pr128r1-on98-mcp1k	A	59	work-pr128r1-on98-mcp1k.tar.gz	2026-08-29T12:26:51-07:00	0
2026-08-30T18:53:51-07:00	work-pr128r1-on98-mcp2k	A	109	work-pr128r1-on98-mcp2k.tar.gz	2026-08-29T12:28:00-07:00	0
2026-08-30T18:53:51-07:00	work-pr128r1-on98-ncpi0	A	105	work-pr128r1-on98-ncpi0.tar.gz	2026-08-29T12:28:31-07:00	0
2026-08-30T18:53:51-07:00	work-pr128r1-on98-nuecc48	A	284	work-pr128r1-on98-nuecc48.tar.gz	2026-08-29T12:31:06-07:00	0
2026-08-30T18:53:51-07:00	work-pr129gf-nokine-mcp2k	A	15	work-pr129gf-nokine-mcp2k.tar.gz	2026-08-29T14:38:56-07:00	0
2026-08-30T18:53:51-07:00	work-pr129probe-171572	A	5	work-pr129probe-171572.tar.gz	2026-08-29T14:32:39-07:00	0
2026-08-30T18:53:51-07:00	work-pr129probe-mcp1k	A	5	work-pr129probe-mcp1k.tar.gz	2026-08-29T14:27:57-07:00	0
2026-08-30T18:53:51-07:00	work-pr129probe-mcp2k	A	13	work-pr129probe-mcp2k.tar.gz	2026-08-29T14:27:51-07:00	0
2026-08-30T18:53:51-07:00	work-pr129pt-meas-mcp2k	A	15	work-pr129pt-meas-mcp2k.tar.gz	2026-08-29T16:14:24-07:00	0
2026-08-30T18:53:51-07:00	work-pr129pt-on-mcp2k	A	15	work-pr129pt-on-mcp2k.tar.gz	2026-08-29T16:15:01-07:00	0
