# retire_20260831b.sh  tiers=A
# started              2026-08-30T19:28:38-07:00
# wcp-porting-img HEAD 6e764045
# toolkit HEAD         b5cc3a3f
# broken symlinks pre  0
# du -sh sbnd_xin pre  88G
# df /nfs/data/1 pre   1.4T avail
iso_ts	dir	tier	MB	archive_tarball	dir_mtime	citations
2026-08-30T19:28:39-07:00	work-mcp1k-prod0825	A	3159	work-mcp1k-prod0825.tar.gz	2026-08-25T05:13:38-07:00	0
2026-08-30T19:28:39-07:00	work-mcp2k-prod0825	A	6246	work-mcp2k-prod0825.tar.gz	2026-08-25T05:34:59-07:00	0
2026-08-30T19:28:39-07:00	work-ncpi0-prod0825	A	104	work-ncpi0-prod0825.tar.gz	2026-08-25T02:06:04-07:00	0
2026-08-30T19:28:39-07:00	work-nuecc48-prod0825	A	285	work-nuecc48-prod0825.tar.gz	2026-08-25T02:03:39-07:00	0
2026-08-30T19:28:39-07:00	work-pr124r1-onA141v2-mcp1k	A	248	work-pr124r1-onA141v2-mcp1k.tar.gz	2026-08-28T22:33:16-07:00	0
2026-08-30T19:28:40-07:00	work-pr124r1-onA141v2-mcp2k	A	431	work-pr124r1-onA141v2-mcp2k.tar.gz	2026-08-28T22:34:35-07:00	0
2026-08-30T19:28:40-07:00	work-pr124r1-onA98-mcp1k	A	60	work-pr124r1-onA98-mcp1k.tar.gz	2026-08-28T22:36:00-07:00	0
2026-08-30T19:28:40-07:00	work-pr124r1-onA98-mcp2k	A	112	work-pr124r1-onA98-mcp2k.tar.gz	2026-08-28T22:37:27-07:00	0
2026-08-30T19:28:40-07:00	work-pr124r1-onA98-ncpi0	A	108	work-pr124r1-onA98-ncpi0.tar.gz	2026-08-28T22:38:12-07:00	0
2026-08-30T19:28:40-07:00	work-pr124r1-onA98-nuecc48	A	293	work-pr124r1-onA98-nuecc48.tar.gz	2026-08-28T22:40:56-07:00	0
2026-08-30T19:28:40-07:00	work-pr125r1-flipchk141-mcp1k	A	248	work-pr125r1-flipchk141-mcp1k.tar.gz	2026-08-29T07:51:38-07:00	0
2026-08-30T19:28:40-07:00	work-pr125r1-flipchk141-mcp2k	A	431	work-pr125r1-flipchk141-mcp2k.tar.gz	2026-08-29T07:53:15-07:00	0
2026-08-30T19:28:40-07:00	work-pr125r1-flipchk98-mcp1k	A	60	work-pr125r1-flipchk98-mcp1k.tar.gz	2026-08-29T07:50:52-07:00	0
2026-08-30T19:28:40-07:00	work-pr125r1-flipchk98-mcp2k	A	112	work-pr125r1-flipchk98-mcp2k.tar.gz	2026-08-29T07:52:12-07:00	0
2026-08-30T19:28:40-07:00	work-pr125r1-flipchk98-ncpi0	A	108	work-pr125r1-flipchk98-ncpi0.tar.gz	2026-08-29T07:52:59-07:00	0
2026-08-30T19:28:40-07:00	work-pr125r1-flipchk98-nuecc48	A	293	work-pr125r1-flipchk98-nuecc48.tar.gz	2026-08-29T07:55:46-07:00	0
2026-08-30T19:28:40-07:00	work-pr133-flipchk-mcp1k	A	302	work-pr133-flipchk-mcp1k.tar.gz	2026-08-30T12:18:41-07:00	0
2026-08-30T19:28:40-07:00	work-pr133-flipchk-mcp2k	A	532	work-pr133-flipchk-mcp2k.tar.gz	2026-08-30T12:20:09-07:00	0
2026-08-30T19:28:40-07:00	work-pr133-flipchk-ncpi0	A	105	work-pr133-flipchk-ncpi0.tar.gz	2026-08-30T12:15:18-07:00	0
2026-08-30T19:28:40-07:00	work-pr133-flipchk-nuecc48	A	284	work-pr133-flipchk-nuecc48.tar.gz	2026-08-30T12:18:01-07:00	0
2026-08-30T19:28:40-07:00	work-pr134-flip2-mcp1k	A	302	work-pr134-flip2-mcp1k.tar.gz	2026-08-30T18:24:16-07:00	0
2026-08-30T19:28:41-07:00	work-pr134-flip2-mcp2k	A	532	work-pr134-flip2-mcp2k.tar.gz	2026-08-30T18:25:29-07:00	0
2026-08-30T19:28:41-07:00	work-pr134-flip2-ncpi0	A	105	work-pr134-flip2-ncpi0.tar.gz	2026-08-30T18:21:11-07:00	0
2026-08-30T19:28:41-07:00	work-pr134-flip2-nuecc48	A	284	work-pr134-flip2-nuecc48.tar.gz	2026-08-30T18:23:53-07:00	0
# finished             2026-08-30T19:28:42-07:00
# broken symlinks post 0
# du -sh sbnd_xin post 74G
# df /nfs/data/1 post  1.4T avail
