# doc 89 Phase 4a -- gzip -> zstd-19 re-encode of the record layer
# verified member-for-member (name,size,sha256) before the .gz was removed
rel	bytes_gz	bytes_zst	verdict	note
doc66-diffusion/work-stmcamp-d66old.tar.gz	41305558	22281197	OK	5000 members
docs52-57-arms/work-mcp1000-p54base.tar.gz	2110750	1864709	OK	50 members
docs52-57-arms/work-mcp1000-p54opt.tar.gz	2110754	1865289	OK	50 members
docs52-57-arms/work-mcp1000-p55opt.tar.gz	2110676	1865281	OK	50 members
docs52-57-arms/work-mcp1000-p56off.tar.gz	2110630	1865022	OK	50 members
em-pr-era-20260829/doc114-emdisplay/work-em114c-prodnowdbg-mcp1k.tar.gz	4730999	603411	OK	367 members
em-pr-era-20260829/doc114-emdisplay/work-em114c-prodnowdbg-mcp2k.tar.gz	8354715	1068397	OK	626 members
em-pr-era-20260829/doc80-mcs/work-mcp1k-mcs80off.tar.gz	3519137	426989	OK	248 members
em-pr-era-20260829/doc80-mcs/work-mcp1k-mcs80offb.tar.gz	3518954	426461	OK	248 members
em-pr-era-20260829/doc80-mcs/work-mcp1k-mcs80on-nocx.tar.gz	4971991	431278	OK	416 members
em-pr-era-20260829/doc80-mcs/work-mcp1k-mcs80on.tar.gz	69236840	3923651	OK	7003 members
em-pr-era-20260829/doc80-mcs/work-mcp1k-mcs80ref.tar.gz	3519524	426138	OK	248 members
em-pr-era-20260829/doc80-mcs/work-mcp2k-mcs80off.tar.gz	1143273	117792	OK	108 members
em-pr-era-20260829/doc80-mcs/work-mcp2k-mcs80offb.tar.gz	1143264	118456	OK	108 members
em-pr-era-20260829/doc80-mcs/work-mcp2k-mcs80ref.tar.gz	1143253	118022	OK	108 members
em-pr-era-20260829/doc84-r1/work-d84r1-beeoff-mcp2k.tar.gz	2080859	232926	OK	164 members
em-pr-era-20260829/doc84-r1/work-d84r1-beeon-mcp2k.tar.gz	2089935	235148	OK	164 members
em-pr-era-20260829/doc84-r1/work-d84r1-beeon2-mcp2k.tar.gz	2090470	235356	OK	164 members
em-pr-era-20260829/doc84-r1/work-d84r1-beeon2B-mcp2k.tar.gz	2093833	235395	OK	164 members
em-pr-era-20260829/doc84-r1/work-d84r1-beeonB-mcp2k.tar.gz	2092873	235735	OK	164 members
em-pr-era-20260829/doc84-r1/work-d84r1-flip2-mcp2k.tar.gz	2099602	236651	OK	164 members
em-pr-era-20260829/doc84-r1/work-d84r1-flipchk98-mcp1k.tar.gz	1140712	128908	OK	101 members
em-pr-era-20260829/doc84-r1/work-d84r1-flipchk98-mcp2k.tar.gz	2906879	439010	OK	122 members
em-pr-era-20260829/doc84-r1/work-d84r1-flipchk98-ncpi0.tar.gz	1989508	283241	OK	136 members
em-pr-era-20260829/doc84-r1/work-d84r1-flipchk98-nuecc48.tar.gz	5468849	792872	OK	339 members
em-pr-era-20260829/doc84-r1/work-d84r1-off0-mcp1k.tar.gz	1137031	127737	OK	101 members
em-pr-era-20260829/doc84-r1/work-d84r1-off0-mcp2k.tar.gz	2903224	440337	OK	122 members
em-pr-era-20260829/doc84-r1/work-d84r1-off0-ncpi0.tar.gz	1986055	283728	OK	136 members
em-pr-era-20260829/doc84-r1/work-d84r1-off0-nuecc48.tar.gz	5480888	804497	OK	339 members
em-pr-era-20260829/doc84-r1/work-d84r1-off1-mcp1k.tar.gz	1136849	127601	OK	101 members
em-pr-era-20260829/doc84-r1/work-d84r1-off1-mcp2k.tar.gz	2901149	439862	OK	122 members
em-pr-era-20260829/doc84-r1/work-d84r1-off1-ncpi0.tar.gz	1982680	282377	OK	136 members
em-pr-era-20260829/doc84-r1/work-d84r1-off1-nuecc48.tar.gz	5474543	801623	OK	339 members
em-pr-era-20260829/doc84-r1/work-d84r1-on2_98-mcp1k.tar.gz	1147131	129436	OK	101 members
em-pr-era-20260829/doc84-r1/work-d84r1-on2_98-mcp2k.tar.gz	2919825	444818	OK	122 members
em-pr-era-20260829/doc84-r1/work-d84r1-on2_98-ncpi0.tar.gz	2002982	286632	OK	136 members
em-pr-era-20260829/doc84-r1/work-d84r1-on2_98-nuecc48.tar.gz	5517589	811387	OK	339 members
em-pr-era-20260829/doc84-r1/work-d84r1-on98-mcp1k.tar.gz	1140689	128285	OK	101 members
em-pr-era-20260829/doc84-r1/work-d84r1-on98-mcp2k.tar.gz	2906689	440400	OK	122 members
em-pr-era-20260829/doc84-r1/work-d84r1-on98-ncpi0.tar.gz	1988891	283140	OK	136 members
em-pr-era-20260829/doc84-r1/work-d84r1-on98-nuecc48.tar.gz	5487307	802202	OK	339 members
em-pr-era-20260829/doc84-r1/work-d84r1-probchk-mcp1k.tar.gz	1140586	128547	OK	101 members
em-pr-era-20260829/doc84-r2/work-d84r2-flip3-mcp2k.tar.gz	2101569	240219	OK	164 members
em-pr-era-20260829/doc84-r2/work-d84r2-off1-mcp1k.tar.gz	1147931	129966	OK	101 members
em-pr-era-20260829/doc84-r2/work-d84r2-off1-mcp2k.tar.gz	2920199	445698	OK	122 members
em-pr-era-20260829/doc84-r2/work-d84r2-off1-ncpi0.tar.gz	2004995	287491	OK	136 members
em-pr-era-20260829/doc84-r2/work-d84r2-off1-nuecc48.tar.gz	5519493	812637	OK	339 members
em-pr-era-20260829/doc84-r2/work-d84r2-off2-mcp1k.tar.gz	1146946	130693	OK	101 members
em-pr-era-20260829/doc84-r2/work-d84r2-off2-mcp2k.tar.gz	2918504	444276	OK	122 members
em-pr-era-20260829/doc84-r2/work-d84r2-off2-ncpi0.tar.gz	2003409	286147	OK	136 members
em-pr-era-20260829/doc84-r2/work-d84r2-off2-nuecc48.tar.gz	5520417	811618	OK	339 members
em-pr-era-20260829/doc84-r2/work-d84r2-on1-mcp2k.tar.gz	2104805	238239	OK	164 members
em-pr-era-20260829/doc84-r2/work-d84r2-on2-mcp2k.tar.gz	2101363	238873	OK	164 members
em-pr-era-20260829/doc84-r2/work-d84r2-on3-mcp2k.tar.gz	2101607	240635	OK	164 members
em-pr-era-20260829/doc84-r2/work-d84r2-prod98-mcp1k.tar.gz	1147423	128344	OK	101 members
em-pr-era-20260829/doc84-r2/work-d84r2-prod98-mcp2k.tar.gz	2922269	444730	OK	122 members
em-pr-era-20260829/doc84-r2/work-d84r2-prod98-ncpi0.tar.gz	2005989	288011	OK	136 members
em-pr-era-20260829/doc84-r2/work-d84r2-prod98-nuecc48.tar.gz	5451907	802594	OK	338 members
em-pr-era-20260829/doc84-r3/work-d84r3-cens-mcp1k.tar.gz	24118191	7551152	OK	4507 members
em-pr-era-20260829/doc84-r3/work-d84r3-cens-mcp2k.tar.gz	47754032	15079571	OK	9003 members
em-pr-era-20260829/doc84-r3/work-d84r3-off1-mcp1k.tar.gz	1147866	129647	OK	101 members
em-pr-era-20260829/doc84-r3/work-d84r3-off1-mcp2k.tar.gz	2924290	446610	OK	122 members
em-pr-era-20260829/doc84-r3/work-d84r3-off1-ncpi0.tar.gz	2007769	288785	OK	136 members
em-pr-era-20260829/doc84-r3/work-d84r3-off1-nuecc48.tar.gz	5522655	812170	OK	339 members
em-pr-era-20260829/doc84-r4/work-d84r4-off1-mcp1k.tar.gz	1147897	129577	OK	101 members
em-pr-era-20260829/doc84-r4/work-d84r4-off1-mcp2k.tar.gz	2922019	446053	OK	122 members
em-pr-era-20260829/doc84-r4/work-d84r4-off1-ncpi0.tar.gz	2007333	287631	OK	136 members
em-pr-era-20260829/doc84-r4/work-d84r4-off1-nuecc48.tar.gz	5523252	810734	OK	339 members
em-pr-era-20260829/doc84-r4/work-d84r4-on1-mcp1k.tar.gz	1148234	129271	OK	101 members
em-pr-era-20260829/doc84-r4/work-d84r4-on1-mcp2k.tar.gz	2922613	443880	OK	122 members
em-pr-era-20260829/doc84-r4/work-d84r4-on1-ncpi0.tar.gz	2007701	287280	OK	136 members
em-pr-era-20260829/doc84-r4/work-d84r4-on1-nuecc48.tar.gz	5523865	810025	OK	339 members
em-pr-era-20260829/doc84-r4/work-d84r4-on141-mcp1k.tar.gz	4585995	477374	OK	367 members
em-pr-era-20260829/doc84-r4/work-d84r4-on141-mcp2k.tar.gz	8109465	853150	OK	626 members
em-pr-era-20260829/other/work-mcp1k-prod0825.tar.gz	22838218	7494949	OK	4507 members
em-pr-era-20260829/other/work-mcp2k-prod0825.tar.gz	45189832	14966081	OK	9003 members
em-pr-era-20260829/other/work-ncpi0-prod0825.tar.gz	1453834	305841	OK	95 members
