half	tag	runNo	subRunNo	eventNo	event	stratum	b1_cm
test	vtxscan-prod0813	18253	1	172230	evt172230	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18253	1	444187	evt444187	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18255	1	388	evt388	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18255	1	10550	evt10550	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18255	1	46363	evt46363	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18255	1	69314	evt69314	vtxscan-prod0813/ok	0.0000
dev	vtxscan-prod0813	18255	1	90055	evt90055	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18255	1	122660	evt122660	vtxscan-prod0813/miss	4.9530
dev	vtxscan-prod0813	18255	1	138009	evt138009	vtxscan-prod0813/ok	0.7520
test	vtxscan-prod0813	18255	1	163543	evt163543	vtxscan-prod0813/miss	58.5606
test	vtxscan-prod0813	18255	1	168596	evt168596	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18255	1	174637	evt174637	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18255	1	196649	evt196649	vtxscan-prod0813/ok	0.0000
dev	vtxscan-prod0813	18255	1	219295	evt219295	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18255	1	234638	evt234638	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18255	1	235435	evt235435	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18255	1	239794	evt239794	vtxscan-prod0813/ok	0.0000
dev	vtxscan-prod0813	18255	1	246579	evt246579	vtxscan-prod0813/ok	0.0000
dev	vtxscan-prod0813	18255	1	268067	evt268067	vtxscan-prod0813/miss	2.2740
test	vtxscan-prod0813	18255	1	268784	evt268784	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18255	1	269774	evt269774	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18255	1	271851	evt271851	vtxscan-prod0813/miss	31.8487
test	vtxscan-prod0813	18255	1	350186	evt350186	vtxscan-prod0813/ok	0.0000
dev	vtxscan-prod0813	18255	1	360535	evt360535	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18255	1	389538	evt389538	vtxscan-prod0813/ok	0.0000
dev	vtxscan-prod0813	18255	1	422851	evt422851	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18255	1	423981	evt423981	vtxscan-prod0813/miss	1.4795
dev	vtxscan-prod0813	18255	1	433451	evt433451	vtxscan-prod0813/ok	0.0000
dev	vtxscan-prod0813	18255	1	437699	evt437699	vtxscan-prod0813/ok	0.0000
dev	vtxscan-prod0813	18255	1	447477	evt447477	vtxscan-prod0813/ok	0.0000
